OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.82578,3.90111
STATIC,2,1.789371,2.878424
STATIC,4,1.785677,2.460516
STATIC,8,1.796855,2.699894
STATIC,16,1.831427,2.7013
STATIC,32,1.904506,4.354812
STATIC,64,2.013923,7.967887
DYNAMIC,1,1.758807,1.915996
DYNAMIC,2,1.751916,1.903434
DYNAMIC,4,1.746489,1.904017
DYNAMIC,8,1.765046,1.900138
DYNAMIC,16,1.78932,1.901007
DYNAMIC,32,1.872488,3.663173
DYNAMIC,64,2.030265,7.288967
GUIDED,1,1.717527,9.502702
GUIDED,2,1.726407,9.475725
GUIDED,4,1.732045,9.541714
GUIDED,8,1.756356,9.483324
GUIDED,16,1.773322,9.453879
GUIDED,32,1.868628,9.528323
GUIDED,64,1.989886,9.534193
