OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.784303,3.882876
STATIC,2,1.793403,2.906756
STATIC,4,1.786725,2.471574
STATIC,8,1.787736,2.708766
STATIC,16,1.840956,2.700288
STATIC,32,1.851701,4.343566
STATIC,64,2.005052,7.971654
DYNAMIC,1,1.751635,1.914056
DYNAMIC,2,1.751650,1.904293
DYNAMIC,4,1.736825,1.901875
DYNAMIC,8,1.763461,1.905114
DYNAMIC,16,1.779404,1.903205
DYNAMIC,32,1.855661,3.709882
DYNAMIC,64,2.003461,7.139582
GUIDED,1,1.716568,9.430880
GUIDED,2,1.719321,9.186108
GUIDED,4,1.723207,9.804710
GUIDED,8,1.760407,9.330273
GUIDED,16,1.774830,9.150695
GUIDED,32,1.882701,9.653770
GUIDED,64,1.990798,9.325528
