SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.801399,1.444571
STATIC,2,0.806519,1.555993
STATIC,4,0.820194,0.912782
STATIC,8,0.863750,2.196042
STATIC,32,1.123371,4.725375
STATIC,64,1.490844,7.203355
DYNAMIC,1,0.707737,0.811386
DYNAMIC,2,0.743505,0.776848
DYNAMIC,4,0.700195,0.892618
DYNAMIC,8,0.796124,1.692383
DYNAMIC,32,1.039733,3.887034
DYNAMIC,64,1.384640,7.192295
GUIDED,1,0.691852,3.999537
GUIDED,2,0.732882,4.497407
GUIDED,4,0.731562,4.475029
GUIDED,8,0.783201,4.228614
GUIDED,32,0.996065,3.875871
GUIDED,64,1.351803,7.361099
