OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.774496,4.065608
STATIC,2,1.782371,2.876548
STATIC,4,1.782685,2.467269
STATIC,8,1.798986,2.710539
STATIC,16,1.825030,2.706005
STATIC,32,1.879762,4.342094
STATIC,64,2.091639,7.987881
DYNAMIC,1,1.769808,1.892479
DYNAMIC,2,1.748387,1.905418
DYNAMIC,4,1.768856,1.907498
DYNAMIC,8,1.773824,1.894788
DYNAMIC,16,1.788020,1.896806
DYNAMIC,32,1.866216,3.601659
DYNAMIC,64,2.046953,7.213942
GUIDED,1,1.721654,9.820816
GUIDED,2,1.720743,9.846169
GUIDED,4,1.738425,9.517585
GUIDED,8,1.752718,9.691900
GUIDED,16,1.769306,9.308604
GUIDED,32,1.860523,9.830125
GUIDED,64,1.978577,9.279470
