SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.825171,1.80807
STATIC,2,0.807932,1.537196
STATIC,4,0.823947,1.333901
STATIC,8,0.862865,1.866593
STATIC,32,1.103171,4.117684
STATIC,64,1.454359,7.213701
DYNAMIC,1,0.698804,0.774808
DYNAMIC,2,0.688201,0.746596
DYNAMIC,4,0.701381,0.888108
DYNAMIC,8,0.763134,1.608766
DYNAMIC,32,1.016746,3.80907
DYNAMIC,64,1.368947,7.254787
GUIDED,1,0.672186,4.162639
GUIDED,2,0.666464,4.199943
GUIDED,4,0.717598,4.07778
GUIDED,8,0.758871,4.105862
GUIDED,32,1.028495,3.964854
GUIDED,64,1.386271,7.307533
