SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.800767,1.706838
STATIC,2,0.808621,1.539062
STATIC,4,0.823219,1.287457
STATIC,8,0.870533,1.958305
STATIC,32,1.106508,4.424520
STATIC,64,1.472806,7.188508
DYNAMIC,1,0.672370,0.720478
DYNAMIC,2,0.615054,0.688885
DYNAMIC,4,0.661747,0.884014
DYNAMIC,8,0.732124,1.498642
DYNAMIC,32,1.007798,3.637006
DYNAMIC,64,1.368969,7.204778
GUIDED,1,0.694302,4.800869
GUIDED,2,0.624145,3.877219
GUIDED,4,0.674690,3.893621
GUIDED,8,0.796406,4.037426
GUIDED,32,1.016561,3.873136
GUIDED,64,1.396745,7.309227
